id,First_name,Last_name,Email,Gender,Part_time_job,Absence_days,Extracurricular_activities,Weekly_self_study_hours,CCSIT205_Grade,PROFELECTIVE 1_Grade,GE ELECT103_Grade,CCSIT 207_Grade,CCSIT 206_Grade,PROFELECTIVE2_Grade,CCSIT 208_Grade
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,FALSE,4,FALSE,31,85,97,64,90,79,81,81
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,TRUE,7,FALSE,4,65,55,66,50,88,56,86
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,TRUE,6,FALSE,3,93,94,92,77,87,98,63
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,FALSE,4,FALSE,3,97,99,85,96,91,68,66
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,TRUE,4,FALSE,3,54,99,79,57,53,95,83
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,TRUE,5,TRUE,5,88,53,50,58,84,53,96
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,FALSE,5,TRUE,27,71,85,93,68,100,91,87
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,FALSE,0,TRUE,28,81,98,74,70,97,65,65
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,FALSE,4,FALSE,32,80,78,86,80,64,68,100
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,FALSE,0,FALSE,14,100,89,90,93,30,83,74
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,FALSE,6,TRUE,16,76,72,96,65,89,87,94
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,FALSE,2,FALSE,24,99,81,73,70,85,86,61
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,FALSE,9,FALSE,0,64,70,61,81,82,51,70
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,FALSE,3,FALSE,32,90,96,86,61,89,98,68
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,FALSE,2,FALSE,3,85,100,92,68,60,77,83
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,FALSE,6,FALSE,31,91,60,84,88,76,71,99
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,FALSE,3,FALSE,21,95,72,79,86,87,81,62
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,TRUE,2,FALSE,18,94,78,73,97,67,78,99
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,FALSE,7,FALSE,26,94,89,64,96,91,95,77
60,Casey,May,casey.may.60@gslingacademy.com,male,FALSE,4,FALSE,23,89,99,90,79,85,96,98
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,FALSE,2,FALSE,1,91,81,88,71,78,83,76
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,FALSE,5,FALSE,33,83,86,61,99,99,88,73
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,FALSE,7,FALSE,2,98,65,53,64,52,96,62
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,FALSE,1,FALSE,34,83,97,65,88,67,95,69
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,FALSE,2,FALSE,18,91,73,99,70,63,80,78
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,TRUE,6,FALSE,2,90,54,77,74,76,96,88
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,FALSE,3,FALSE,27,92,86,66,69,100,71,80
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,FALSE,2,FALSE,8,64,64,73,76,72,97,91
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,FALSE,4,FALSE,14,90,70,85,60,81,71,88
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,FALSE,10,TRUE,22,99,81,96,69,91,87,83
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,FALSE,1,FALSE,15,89,66,93,81,86,88,70
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,TRUE,3,FALSE,22,62,87,93,83,93,97,73
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,TRUE,10,FALSE,1,61,70,69,64,59,78,80
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,TRUE,8,FALSE,3,51,54,66,87,99,58,68
75,Anna,Li,anna.li.75@gslingacademy.com,female,FALSE,2,FALSE,20,85,100,64,68,73,81,87
76,Andrea,Case,andrea.case.76@gslingacademy.com,female,FALSE,7,TRUE,27,99,90,96,92,100,98,77
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,FALSE,3,FALSE,24,87,63,60,90,89,99,80
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,FALSE,1,TRUE,5,75,91,80,93,74,93,65
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,FALSE,7,FALSE,34,88,94,80,63,68,77,64
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,FALSE,3,FALSE,16,87,79,89,68,93,75,92
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,TRUE,3,FALSE,3,87,67,94,92,62,58,65
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,FALSE,1,FALSE,15,76,67,83,85,91,61,67
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,FALSE,7,FALSE,11,60,80,61,63,95,92,75
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,FALSE,7,FALSE,32,85,65,99,100,88,93,72
85,James,Dawson,james.dawson.85@gslingacademy.com,male,FALSE,3,FALSE,28,73,67,70,71,65,73,87
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,FALSE,1,FALSE,24,85,71,69,80,70,77,66
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,FALSE,2,FALSE,9,91,76,71,72,92,67,90
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,FALSE,3,TRUE,14,99,95,83,89,81,63,70
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,FALSE,3,FALSE,16,93,96,68,87,69,89,100
90,William,Brown,william.brown.90@gslingacademy.com,male,FALSE,3,FALSE,29,89,75,60,80,62,85,73
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,FALSE,0,FALSE,14,95,78,95,73,32,65,68
92,James,Santiago,james.santiago.92@gslingacademy.com,male,FALSE,4,FALSE,10,68,82,95,63,62,98,93
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,FALSE,5,FALSE,31,98,73,73,77,87,98,83
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,FALSE,4,FALSE,34,79,92,79,76,84,67,86
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,FALSE,5,FALSE,3,78,79,73,96,64,93,85
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,FALSE,2,TRUE,34,100,98,89,85,81,64,94
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,FALSE,3,TRUE,2,86,76,84,93,76,69,91
98,Thomas,White,thomas.white.98@gslingacademy.com,male,FALSE,3,FALSE,4,87,89,93,98,79,72,88
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,TRUE,0,FALSE,28,100,93,85,61,96,83,86
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,FALSE,0,FALSE,5,85,89,94,69,99,93,98
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,FALSE,2,FALSE,4,87,73,98,91,79,60,77
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,FALSE,2,FALSE,25,96,80,100,61,81,98,65
103,James,Yang,james.yang.103@gslingacademy.com,male,FALSE,5,FALSE,29,76,87,64,74,73,90,99
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,TRUE,6,FALSE,1,90,80,63,94,64,70,79
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,FALSE,7,FALSE,2,65,60,100,91,87,78,99
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,FALSE,2,FALSE,0,98,97,62,89,62,95,77
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,FALSE,3,FALSE,16,91,80,97,89,94,95,84
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,FALSE,3,TRUE,31,86,81,83,81,81,77,86
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,FALSE,1,FALSE,4,91,93,72,61,61,87,95
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,FALSE,5,TRUE,13,78,69,82,60,64,77,82
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,FALSE,4,FALSE,24,76,89,89,83,89,90,64
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,TRUE,9,FALSE,2,82,54,85,57,50,54,76
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,TRUE,2,TRUE,4,45,85,94,76,57,93,86
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,FALSE,1,FALSE,22,92,75,65,97,61,76,81
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,FALSE,6,TRUE,0,43,65,91,75,64,94,100
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,FALSE,2,FALSE,24,96,66,69,65,72,84,77
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,FALSE,6,FALSE,1,78,71,50,55,54,97,95
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,FALSE,1,FALSE,19,68,96,64,70,74,63,75
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,FALSE,1,TRUE,19,93,73,94,65,60,63,93
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,FALSE,6,FALSE,5,55,93,67,74,55,60,64
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,TRUE,0,FALSE,13,66,90,83,80,76,90,91
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,FALSE,4,FALSE,26,98,92,91,99,97,88,75
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,FALSE,4,FALSE,41,94,94,94,89,85,86,85
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,FALSE,3,FALSE,47,96,100,96,91,91,96,89
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,FALSE,2,FALSE,9,69,62,82,89,81,72,71
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,FALSE,4,FALSE,7,77,95,98,69,60,89,71
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,FALSE,1,FALSE,3,89,67,86,87,87,68,78
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,FALSE,4,TRUE,14,96,67,80,83,86,77,75
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,FALSE,4,FALSE,26,82,70,80,70,96,69,86
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,FALSE,6,TRUE,27,99,97,64,90,87,68,69
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,TRUE,5,FALSE,25,96,73,90,85,63,84,87
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,TRUE,4,FALSE,16,95,82,66,63,67,92,69
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,FALSE,4,FALSE,27,90,63,69,80,99,69,79
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,TRUE,6,FALSE,0,88,52,53,56,85,93,78
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,FALSE,1,FALSE,3,87,62,87,96,85,90,74
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,FALSE,2,FALSE,6,62,83,84,75,83,85,86
137,David,Patel,david.patel.137@gslingacademy.com,male,FALSE,2,FALSE,12,85,65,60,78,81,96,76
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,FALSE,1,TRUE,11,79,97,76,67,61,90,95
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,FALSE,4,FALSE,23,90,94,98,96,68,82,81
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,FALSE,2,FALSE,23,97,71,82,80,97,93,78
141,James,Singh,james.singh.141@gslingacademy.com,male,FALSE,0,FALSE,16,88,69,87,81,77,67,93
142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,TRUE,2,TRUE,3,71,85,77,89,98,63,100
143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,FALSE,1,FALSE,29,70,99,79,96,60,97,100
144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,FALSE,3,TRUE,18,93,68,76,99,80,80,75
145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,FALSE,0,FALSE,3,92,79,81,61,86,72,88
146,Victor,Jones,victor.jones.146@gslingacademy.com,male,FALSE,3,FALSE,6,83,72,68,94,100,98,92
147,Mark,Young,mark.young.147@gslingacademy.com,male,FALSE,8,FALSE,2,68,97,51,93,68,58,78
148,Matthew,Jackson,matthew.jackson.148@gslingacademy.com,male,FALSE,0,FALSE,34,92,90,65,79,96,87,74
149,Tanya,Nichols,tanya.nichols.149@gslingacademy.com,female,FALSE,4,TRUE,22,69,91,82,99,94,75,74
150,Julie,Gray,julie.gray.150@gslingacademy.com,female,TRUE,5,FALSE,4,76,72,72,65,82,71,93
151,Courtney,Perry,courtney.perry.151@gslingacademy.com,female,FALSE,3,FALSE,3,86,92,79,73,73,61,60
152,Stephen,Rodriguez,stephen.rodriguez.152@gslingacademy.com,male,TRUE,10,FALSE,2,41,57,97,56,50,98,83
153,Elizabeth,Robinson,elizabeth.robinson.153@gslingacademy.com,female,FALSE,5,FALSE,18,91,100,84,72,84,90,82
154,William,Graves,william.graves.154@gslingacademy.com,male,FALSE,0,FALSE,8,78,67,82,70,65,68,81
155,Nancy,Moore,nancy.moore.155@gslingacademy.com,female,FALSE,1,FALSE,33,89,73,85,84,73,81,98
156,Matthew,Newman,matthew.newman.156@gslingacademy.com,male,FALSE,0,TRUE,13,96,71,88,74,80,92,65
157,Anita,Moore,anita.moore.157@gslingacademy.com,female,FALSE,0,TRUE,17,66,99,85,90,76,64,95
158,Brian,Sanchez,brian.sanchez.158@gslingacademy.com,male,TRUE,8,FALSE,1,97,54,62,66,58,69,96
159,Dennis,Phillips,dennis.phillips.159@gslingacademy.com,male,TRUE,7,TRUE,3,49,64,97,61,62,72,65
160,Michael,Rivas,michael.rivas.160@gslingacademy.com,male,TRUE,4,TRUE,33,88,66,96,82,65,76,79
161,Ryan,Smith,ryan.smith.161@gslingacademy.com,male,FALSE,1,FALSE,12,92,64,77,61,76,72,87
162,Anthony,Sullivan,anthony.sullivan.162@gslingacademy.com,male,TRUE,3,FALSE,24,96,66,92,88,65,76,72
163,Troy,Shepherd,troy.shepherd.163@gslingacademy.com,male,FALSE,4,FALSE,33,86,88,99,79,93,97,91
164,Nicholas,Clayton,nicholas.clayton.164@gslingacademy.com,male,FALSE,1,TRUE,44,86,100,100,96,95,97,93
165,Denise,Schneider,denise.schneider.165@gslingacademy.com,female,FALSE,1,FALSE,15,88,72,96,60,90,80,88
166,Lisa,Silva,lisa.silva.166@gslingacademy.com,female,FALSE,2,FALSE,5,92,81,99,98,77,80,73
167,Laura,Reilly,laura.reilly.167@gslingacademy.com,female,TRUE,7,FALSE,5,87,76,71,65,64,81,61
168,Amy,Peterson,amy.peterson.168@gslingacademy.com,female,FALSE,5,FALSE,22,89,94,67,68,69,92,76
169,Fernando,Sexton,fernando.sexton.169@gslingacademy.com,male,FALSE,1,FALSE,9,97,96,66,96,71,97,66
170,Evan,Christian,evan.christian.170@gslingacademy.com,male,FALSE,4,TRUE,34,100,62,67,97,73,84,99
171,Rebecca,Norris,rebecca.norris.171@gslingacademy.com,female,FALSE,1,FALSE,34,91,98,76,99,65,98,71
172,Erica,Marks,erica.marks.172@gslingacademy.com,female,FALSE,4,FALSE,25,81,87,65,85,74,64,81
173,Rhonda,Webster,rhonda.webster.173@gslingacademy.com,female,FALSE,5,TRUE,31,82,66,89,76,68,83,79
174,John,Bennett,john.bennett.174@gslingacademy.com,male,FALSE,1,FALSE,33,100,96,75,68,77,97,81
175,Amanda,Murphy,amanda.murphy.175@gslingacademy.com,female,FALSE,10,TRUE,3,65,100,80,83,57,81,81
176,Jeremy,Barnes,jeremy.barnes.176@gslingacademy.com,male,FALSE,2,FALSE,20,68,100,89,75,84,78,90
177,John,Brown,john.brown.177@gslingacademy.com,male,FALSE,3,FALSE,15,97,92,95,75,95,90,83
178,Traci,Boyd,traci.boyd.178@gslingacademy.com,female,FALSE,3,FALSE,26,76,94,77,88,85,91,61
179,Elizabeth,Butler,elizabeth.butler.179@gslingacademy.com,female,FALSE,5,FALSE,35,91,99,94,94,95,98,89
180,Alex,Clark,alex.clark.180@gslingacademy.com,male,FALSE,4,FALSE,12,85,73,89,73,97,66,79
181,Christopher,Wolfe,christopher.wolfe.181@gslingacademy.com,male,FALSE,2,TRUE,5,68,69,86,87,72,80,93
182,Jason,Bell,jason.bell.182@gslingacademy.com,male,FALSE,1,FALSE,31,73,99,75,70,100,86,62
183,Victoria,Donaldson,victoria.donaldson.183@gslingacademy.com,female,FALSE,3,TRUE,28,65,90,75,96,91,93,85
184,Logan,Cox,logan.cox.184@gslingacademy.com,male,FALSE,8,TRUE,5,46,79,75,86,91,88,77
185,Rachel,Hill,rachel.hill.185@gslingacademy.com,female,FALSE,1,FALSE,33,92,84,85,77,81,69,95
186,Jenny,Lloyd,jenny.lloyd.186@gslingacademy.com,female,FALSE,3,FALSE,2,69,78,69,70,100,88,85
187,Joan,Cohen,joan.cohen.187@gslingacademy.com,female,FALSE,5,TRUE,9,78,99,64,99,65,84,80
188,Kimberly,Lopez,kimberly.lopez.188@gslingacademy.com,female,TRUE,2,TRUE,0,92,62,86,97,54,76,76
189,Steven,Walker,steven.walker.189@gslingacademy.com,male,FALSE,5,FALSE,26,70,77,91,96,100,89,67
190,Sonia,Bowers,sonia.bowers.190@gslingacademy.com,female,FALSE,5,FALSE,30,95,79,98,95,89,99,87
191,Penny,Perez,penny.perez.191@gslingacademy.com,female,FALSE,7,FALSE,1,99,82,93,83,92,90,60
192,Mike,Harris,mike.harris.192@gslingacademy.com,male,FALSE,1,TRUE,26,96,66,79,80,88,61,85
193,Vanessa,Sweeney,vanessa.sweeney.193@gslingacademy.com,female,FALSE,2,FALSE,2,85,90,85,74,96,71,80
194,Adam,Edwards,adam.edwards.194@gslingacademy.com,male,FALSE,5,FALSE,9,91,94,82,100,68,66,69
195,Angelica,Johnson,angelica.johnson.195@gslingacademy.com,female,FALSE,2,FALSE,30,85,64,93,80,82,70,94
196,Tiffany,Hernandez,tiffany.hernandez.196@gslingacademy.com,female,FALSE,3,FALSE,24,94,73,61,68,65,85,67
197,Mark,Myers,mark.myers.197@gslingacademy.com,male,FALSE,4,FALSE,21,95,69,62,87,84,83,64
198,Erica,Cochran,erica.cochran.198@gslingacademy.com,female,FALSE,2,FALSE,14,69,90,83,70,83,91,67
199,Karen,Watson,karen.watson.199@gslingacademy.com,female,FALSE,1,FALSE,24,95,72,94,96,91,61,94
200,Kathryn,Frazier,kathryn.frazier.200@gslingacademy.com,female,FALSE,3,FALSE,34,94,88,65,88,60,81,78
201,Anthony,Jackson,anthony.jackson.201@gslingacademy.com,male,FALSE,1,TRUE,34,82,81,100,81,60,79,96
202,Jordan,Perez,jordan.perez.202@gslingacademy.com,male,FALSE,6,TRUE,27,99,73,91,91,93,80,100
203,Jennifer,Burgess,jennifer.burgess.203@gslingacademy.com,female,FALSE,3,FALSE,16,85,62,84,80,37,80,71
204,Christina,Davis,christina.davis.204@gslingacademy.com,female,FALSE,1,TRUE,21,100,87,60,92,46,67,96
205,April,Ryan,april.ryan.205@gslingacademy.com,female,FALSE,1,FALSE,1,98,95,90,81,82,86,98
206,Maxwell,Davis,maxwell.davis.206@gslingacademy.com,male,FALSE,3,FALSE,17,97,78,81,67,90,95,79
207,Matthew,Guzman,matthew.guzman.207@gslingacademy.com,male,FALSE,5,FALSE,0,99,86,68,94,97,77,92
208,Robert,Mayer,robert.mayer.208@gslingacademy.com,male,FALSE,3,TRUE,12,99,73,77,74,62,68,99
209,Amanda,Willis,amanda.willis.209@gslingacademy.com,female,FALSE,2,FALSE,22,75,83,70,71,86,95,76
210,Michele,Thomas,michele.thomas.210@gslingacademy.com,female,FALSE,1,TRUE,14,63,80,99,78,60,84,86
211,Tim,Turner,tim.turner.211@gslingacademy.com,male,FALSE,0,FALSE,41,96,88,90,100,94,87,96
212,Joe,Strickland,joe.strickland.212@gslingacademy.com,male,FALSE,4,FALSE,32,91,73,86,73,84,60,71
213,Trevor,Cruz,trevor.cruz.213@gslingacademy.com,male,TRUE,1,FALSE,4,52,58,60,97,93,89,68
214,Melissa,Roberts,melissa.roberts.214@gslingacademy.com,female,FALSE,1,FALSE,22,99,71,80,82,95,64,64
215,Tammy,Miller,tammy.miller.215@gslingacademy.com,female,FALSE,3,FALSE,17,84,62,92,74,73,98,91
216,Chad,Morgan,chad.morgan.216@gslingacademy.com,male,FALSE,2,FALSE,2,100,90,82,79,94,83,78
217,Samantha,Maldonado,samantha.maldonado.217@gslingacademy.com,female,FALSE,4,FALSE,33,82,71,93,90,90,76,97
218,Marie,Martin,marie.martin.218@gslingacademy.com,female,FALSE,5,FALSE,29,75,88,65,80,76,94,97
219,Theresa,Tucker,theresa.tucker.219@gslingacademy.com,female,TRUE,1,FALSE,27,66,71,94,72,96,70,63
220,Joseph,Morris,joseph.morris.220@gslingacademy.com,male,FALSE,6,TRUE,34,99,88,72,76,68,92,72
221,Charles,Parker,charles.parker.221@gslingacademy.com,male,FALSE,3,FALSE,2,99,76,94,88,75,66,84
222,Rachel,Alvarez,rachel.alvarez.222@gslingacademy.com,female,FALSE,3,FALSE,22,95,87,79,95,84,90,74
223,Charles,Robertson,charles.robertson.223@gslingacademy.com,male,FALSE,7,FALSE,33,99,61,75,68,66,90,99
224,Steven,York,steven.york.224@gslingacademy.com,male,FALSE,5,FALSE,17,65,72,96,69,78,93,72
225,Robert,Dougherty,robert.dougherty.225@gslingacademy.com,male,FALSE,7,FALSE,4,85,55,74,71,66,50,99
226,Vanessa,Wheeler,vanessa.wheeler.226@gslingacademy.com,female,FALSE,7,TRUE,3,69,78,57,72,71,96,87
227,Emily,Mcclure,emily.mcclure.227@gslingacademy.com,female,FALSE,7,FALSE,3,75,76,88,65,97,83,85
228,Angela,Thomas,angela.thomas.228@gslingacademy.com,female,FALSE,7,TRUE,17,91,78,72,69,77,91,96
229,Roberto,Evans,roberto.evans.229@gslingacademy.com,male,FALSE,3,FALSE,6,92,95,61,98,89,85,80
